GC#, ext frag before GC, ext frag after GC, is full GC
0, 0, 5, 0
1, 2, 8, 1
2, 11, 22, 0
4, 29, 14, 0
6, 33, 63, 0
7, 50, 56, 0
8, 0, 5, 0
9, 15, 33, 0
10, 20, 31, 0
11, 25, 33, 0
12, 20, 31, 0
13, 25, 33, 0
14, 20, 31, 0
15, 25, 27, 0
16, 38, 35, 0
17, 15, 33, 0
18, 19, 35, 0
19, 15, 33, 0
20, 19, 35, 0
21, 15, 33, 0
22, 19, 35, 0
23, 15, 33, 0
24, 19, 35, 0
25, 15, 27, 0
26, 36, 36, 0
27, 12, 35, 0
28, 15, 36, 0
29, 12, 35, 0
30, 15, 36, 0
31, 12, 35, 0
32, 15, 36, 0
33, 12, 35, 0
34, 15, 36, 0
35, 12, 35, 0
36, 15, 36, 0
37, 12, 35, 0
38, 15, 36, 0
39, 12, 35, 0
40, 15, 36, 0
41, 12, 35, 0
42, 15, 36, 0
43, 12, 35, 0
44, 15, 36, 0
45, 12, 35, 0
46, 15, 36, 0
47, 12, 35, 0
48, 15, 36, 0
49, 12, 35, 0
50, 15, 36, 0
51, 12, 35, 0
52, 15, 36, 0
53, 12, 35, 0
54, 15, 36, 0
55, 12, 35, 0
56, 15, 36, 0
57, 12, 35, 0
58, 15, 36, 0
59, 12, 35, 0
60, 15, 36, 0
61, 12, 35, 0
62, 15, 36, 0
63, 12, 35, 0
64, 15, 36, 0
65, 12, 35, 0
66, 15, 36, 0
67, 12, 35, 0
68, 15, 36, 0
69, 12, 35, 0
70, 15, 36, 0
71, 12, 35, 0
72, 15, 36, 0
73, 12, 35, 0
74, 15, 36, 0
75, 12, 35, 0
76, 15, 36, 0
77, 12, 35, 0
78, 15, 36, 0
79, 12, 35, 0
80, 15, 36, 0
81, 12, 35, 0
82, 15, 36, 0
83, 12, 35, 0
84, 15, 36, 0
85, 12, 35, 0
86, 15, 36, 0
87, 12, 35, 0
88, 15, 36, 0
89, 12, 35, 0
90, 15, 36, 0
91, 12, 35, 0
92, 15, 36, 0
93, 12, 35, 0
94, 15, 36, 0
95, 12, 35, 0
96, 15, 36, 0
97, 12, 35, 0
98, 15, 36, 0
99, 12, 35, 0
100, 15, 36, 0
101, 12, 35, 0
102, 15, 36, 0
103, 12, 35, 0
104, 15, 36, 0
105, 12, 35, 0
106, 15, 36, 0
107, 12, 35, 0
108, 15, 36, 0
109, 12, 35, 0
110, 15, 36, 0
111, 12, 35, 0
112, 15, 36, 0
113, 12, 35, 0
114, 15, 36, 0
115, 12, 35, 0
116, 15, 36, 0
117, 12, 35, 0
118, 15, 36, 0
119, 12, 35, 0
120, 15, 36, 0
121, 12, 35, 0
122, 15, 36, 0
123, 12, 35, 0
124, 15, 36, 0
125, 12, 35, 0
126, 15, 36, 0
127, 12, 35, 0
128, 15, 36, 0
129, 12, 35, 0
130, 15, 36, 0
131, 12, 35, 0
132, 15, 36, 0
133, 12, 35, 0
134, 15, 36, 0
135, 12, 35, 0
136, 15, 36, 0
137, 12, 35, 0
138, 15, 36, 0
139, 12, 35, 0
140, 15, 36, 0
141, 12, 35, 0
142, 15, 36, 0
143, 12, 35, 0
144, 15, 36, 0
145, 12, 35, 0
146, 15, 36, 0
147, 12, 35, 0
148, 15, 36, 0
149, 12, 35, 0
150, 15, 36, 0
151, 12, 35, 0
152, 15, 36, 0
153, 12, 35, 0
154, 15, 36, 0
155, 12, 35, 0
156, 15, 36, 0
157, 12, 35, 0
158, 15, 36, 0
159, 12, 35, 0
160, 15, 36, 0
161, 12, 35, 0
162, 15, 36, 0
163, 12, 35, 0
164, 15, 36, 0
165, 12, 35, 0
166, 15, 36, 0
167, 12, 35, 0
168, 15, 36, 0
169, 12, 35, 0
170, 15, 36, 0
171, 12, 35, 0
172, 15, 36, 0
173, 12, 35, 0
174, 15, 36, 0
175, 12, 35, 0
176, 15, 36, 0
177, 12, 35, 0
178, 15, 36, 0
179, 12, 35, 0
180, 15, 36, 0
181, 12, 35, 0
182, 15, 36, 0
183, 12, 35, 0
184, 15, 36, 0
185, 12, 35, 0
186, 15, 36, 0
187, 12, 35, 0
188, 15, 36, 0
189, 12, 35, 0
190, 15, 36, 0
191, 12, 35, 0
192, 15, 36, 0
193, 12, 35, 0
194, 15, 36, 0
195, 12, 35, 0
196, 15, 36, 0
197, 12, 35, 0
198, 15, 36, 0
199, 12, 35, 0
200, 15, 36, 0
201, 12, 35, 0
202, 15, 36, 0
203, 12, 35, 0
204, 15, 36, 0
205, 12, 35, 0
206, 15, 36, 0
207, 12, 35, 0
208, 15, 36, 0
209, 12, 35, 0
210, 15, 36, 0
211, 12, 35, 0
212, 15, 36, 0
213, 12, 35, 0
214, 15, 36, 0
215, 12, 35, 0
216, 15, 36, 0
217, 12, 35, 0
218, 15, 36, 0
219, 12, 35, 0
220, 15, 36, 0
221, 12, 35, 0
222, 15, 36, 0
223, 12, 35, 0
224, 15, 36, 0
225, 12, 35, 0
226, 15, 36, 0
227, 12, 35, 0
228, 15, 36, 0
229, 12, 35, 0
230, 15, 36, 0
231, 12, 35, 0
232, 15, 36, 0
233, 12, 35, 0
234, 15, 36, 0
235, 12, 35, 0
236, 15, 36, 0
237, 12, 35, 0
238, 15, 36, 0
239, 12, 35, 0
240, 15, 36, 0
241, 12, 35, 0
242, 15, 36, 0
243, 12, 35, 0
244, 15, 36, 0
245, 12, 35, 0
246, 15, 36, 0
247, 12, 35, 0
248, 15, 36, 0
249, 12, 35, 0
250, 15, 36, 0
251, 12, 35, 0
252, 15, 36, 0
253, 12, 35, 0
254, 15, 36, 0
255, 12, 35, 0
256, 15, 36, 0
257, 12, 35, 0
258, 15, 36, 0
259, 12, 35, 0
260, 15, 36, 0
261, 12, 35, 0
262, 15, 36, 0
263, 12, 35, 0
264, 15, 36, 0
265, 12, 35, 0
266, 15, 36, 0
267, 12, 35, 0
268, 15, 36, 0
269, 12, 35, 0
270, 15, 36, 0
271, 12, 35, 0
272, 15, 36, 0
273, 12, 35, 0
274, 15, 36, 0
275, 12, 35, 0
276, 15, 36, 0
277, 12, 35, 0
278, 15, 36, 0
279, 12, 35, 0
280, 15, 36, 0
281, 12, 35, 0
282, 15, 36, 0
283, 12, 35, 0
284, 15, 36, 0
285, 12, 35, 0
286, 15, 36, 0
287, 12, 35, 0
288, 15, 36, 0
289, 12, 35, 0
290, 15, 36, 0
291, 12, 35, 0
292, 15, 36, 0
293, 12, 35, 0
294, 15, 36, 0
295, 12, 35, 0
296, 15, 36, 0
297, 12, 35, 0
298, 15, 36, 0
299, 12, 35, 0
300, 15, 36, 0
301, 12, 35, 0
302, 15, 36, 0
303, 12, 35, 0
304, 15, 36, 0
305, 12, 35, 0
306, 15, 36, 0
307, 12, 35, 0
308, 15, 36, 0
309, 12, 35, 0
310, 15, 36, 0
311, 12, 35, 0
312, 15, 36, 0
313, 12, 35, 0
314, 15, 36, 0
315, 12, 35, 0
316, 15, 36, 0
317, 12, 35, 0
318, 15, 36, 0
319, 12, 35, 0
320, 15, 36, 0
321, 12, 35, 0
322, 15, 36, 0
323, 12, 35, 0
324, 15, 36, 0
325, 12, 35, 0
326, 15, 36, 0
327, 12, 35, 0
328, 15, 36, 0
329, 12, 35, 0
330, 15, 36, 0
331, 12, 35, 0
332, 15, 36, 0
333, 12, 35, 0
334, 15, 36, 0
335, 12, 35, 0
336, 15, 36, 0
337, 12, 35, 0
338, 15, 36, 0
339, 12, 35, 0
340, 15, 36, 0
341, 12, 35, 0
342, 15, 36, 0
343, 12, 35, 0
344, 15, 36, 0
345, 12, 35, 0
346, 15, 36, 0
347, 12, 35, 0
348, 15, 36, 0
349, 12, 35, 0
350, 15, 36, 0
351, 12, 35, 0
352, 15, 36, 0
353, 12, 35, 0
354, 15, 36, 0
355, 12, 35, 0
356, 15, 36, 0
357, 12, 35, 0
358, 15, 36, 0
